ÐòºÅ,µ¥´Ê,word_id,word
1002_L18,mysterious,,
1003_L18,mystery,,
1004_L18,name,1257_l25,name
1005_L18,national,1109_l22,national
1006_L18,native,,
1007_L18,natural,1422_l28,natural
1008_L18,nature,1421_l28,nature
1009_L18,near,1202_l24,near
1010_L18,nearby,1203_l24,nearby
1011_L18,necessary,1091_l22,necessary
1012_L18,neck,1049_l21,neck
1013_L18,need,1734_l34,need
1014_L18,negative,,
1015_L18,neighbor,,
1016_L18,neither,101_l2,neither
1017_L18,nervous,1059_l21,nervous
1018_L18,net,,
1019_L18,never,780_l15,never
1020_L18,new,174_l4,new
1021_L18,newspaper,178_l4,newspaper
1022_L18,next,,
1023_L18,nice,590_l11,nice
1024_L18,night,620_l11,night
1025_L18,nine,1667_l33,nine
1026_L18,nineteen,1669_l33,nineteen
1027_L18,nineteenth,,
1028_L18,ninety,1670_l33,ninety
1029_L18,ninth,1668_l33,ninth
1030_L18,nobody,1373_l28,nobody
1031_L18,noise,1680_l33,noise
1032_L19,none,380_l7,none
1033_L19,noodle,301_l5,noodle
1034_L19,noon,251_l4,noon
1035_L19,nor,1375_l28,nor
1036_L19,normal,,
1037_L19,north,133_l3,north
1038_L19,northern,134_l3,northern
1039_L19,nose,1679_l33,nose
1040_L19,not,,
1041_L19,note,649_l12,note
1042_L19,notebook,650_l12,notebook
1043_L19,nothing,1374_l28,nothing
1044_L19,notice,587_l11,notice
1045_L19,November,808_l15,November
1046_L19,now,173_l4,now
1047_L19,number,805_l15,number
1048_L19,nurse,1536_l31,nurse
1049_L19,oak,,
1050_L19,obey,1046_l21,obey
1051_L19,object,1153_l24,object
1052_L19,ocean,,
1053_L19,October,,
1054_L19,of,,
1055_L19,off,595_l11,off
1056_L19,offend,,
1057_L19,offer,594_l11,offer
1058_L19,office,592_l11,office
1059_L19,often,1492_l30,often
1060_L19,oil,1343_l27,oil
1061_L19,OK,,
1062_L19,old,469_l9,old
1063_L19,on,,
1064_L19,once,379_l7,once
1065_L19,one,378_l7,one
1066_L19,oneself,,
1067_L19,onion,1112_l22,onion
1068_L19,online,563_l10,online
1069_L19,only,1114_l22,only
1070_L19,open,1217_l25,open
1071_L19,opera,1218_l25,opera
1072_L19,operate,1219_l25,operate
1073_L19,operation,1220_l25,operation
1074_L19,opinion,1113_l22,opinion
1075_L19,opportunity,,
1076_L19,opposite,985_l20,opposite
1077_L19,or,,
1078_L19,orange,698_l13,orange
1079_L19,organize,1449_l29,organize
1080_L19,original,,
1081_L19,other,107_l2,other
1082_L19,our,200_l4,our
1082_L19,our,610_l11,our
1083_L19,ours,611_l11,ours
1084_L19,ourselves,612_l11,ourselves
1085_L19,out,111_l3,out
1086_L19,outdoor,117_l3,outdoor
1087_L20,outgoing,,
1088_L20,outside,113_l3,outside
1088_L20,outside,428_l8,outside
1089_L20,outstanding,,
1090_L20,over,787_l15,over
1091_L20,overseas,,
1092_L20,own,,
1093_L20,owner,,
1094_L20,pack,417_l8,pack
1095_L20,page,,
1096_L20,pain,686_l13,pain
1097_L20,pair,1650_l32,pair
1098_L20,pancake,,
1099_L20,panda,944_l19,panda
1100_L20,paper,177_l4,paper
1101_L20,parent,,
1102_L20,Paris,1040_l21,Paris
1103_L20,park,654_l12,park
1104_L20,parrot,,
1105_L20,part,656_l12,part
1106_L20,particular,,
1107_L20,partner,658_l12,partner
1108_L20,party,659_l12,party
1109_L20,pass,1752_l34,pass
1110_L20,passage,1754_l34,passage
1111_L20,passenger,1755_l34,passenger
1112_L20,passport,1753_l34,passport
1113_L20,past,1750_l34,past
1114_L20,path,,
1115_L20,pay,885_l17,pay
1116_L20,peace,1198_l24,peace
1117_L20,pear,1200_l24,pear
1118_L20,peel,1738_l34,peel
1119_L20,pen,1208_l25,pen
1120_L20,pencil,1209_l25,pencil
1121_L20,penny,1211_l25,penny
1122_L20,people,1533_l31,people
1123_L20,percent,1328_l27,percent
1124_L20,perfect,1269_l25,perfect
1124_L20,perfect,1329_l27,perfect
1125_L20,perform,1267_l25,perform
1125_L20,perform,1778_l34,perform
1126_L20,perhaps,1270_l25,perhaps
1126_L20,perhaps,1330_l27,perhaps
1127_L20,period,,
1128_L20,permission,1324_l26,permission
1129_L20,person,68_l2,person
1130_L20,pet,,
1131_L20,phone,,
1132_L20,photo,,
1133_L20,photograph,,
1134_L20,phrase,,
1135_L20,physics,,
1136_L20,pick,561_l10,pick
1137_L20,picnic,943_l19,picnic
1138_L20,picture,1423_l28,picture
1139_L20,pie,1719_l34,pie
1140_L20,piece,1721_l34,piece
1141_L20,pierce,,
1142_L20,pink,759_l14,pink
1143_L20,pioneer,90_l2,pioneer
1144_L20,pity,1355_l27,pity
1145_L20,place,634_l11,place
1146_L21,plain,,
1147_L21,plan,626_l11,plan
1148_L21,plane,629_l11,plane
1149_L21,planet,632_l11,planet
1150_L21,plant,631_l11,plant
1151_L21,plastic,,
1152_L21,plate,539_l10,plate
1153_L21,play,,
1154_L21,player,,
1155_L21,pleasant,1466_l29,pleasant
1156_L21,please,1467_l29,please
1157_L21,pleasure,1465_l29,pleasure
1158_L21,plenty,,
1159_L21,pocket,410_l7,pocket
1160_L21,poem,,
1161_L21,point,1766_l34,point
1162_L21,polar,1351_l27,polar
1163_L21,police,543_l10,police
1164_L21,polite,545_l10,polite
1165_L21,pollution,1695_l33,pollution
1166_L21,pond,1042_l21,pond
1167_L21,pool,287_l5,pool
1168_L21,poor,286_l5,poor
1169_L21,pop,986_l20,pop
1169_L21,pop,1117_l23,pop
1170_L21,popcorn,,
1171_L21,popular,987_l20,popular
1171_L21,popular,1118_l23,popular
1172_L21,popularity,,
1173_L21,population,1120_l23,population
1174_L21,pork,1776_l34,pork
1175_L21,porridge,1173_l24,porridge
1176_L21,position,,
1177_L21,positive,,
1178_L21,possible,1316_l26,possible
1179_L21,possibly,,
1180_L21,post,1636_l32,post
1181_L21,postcard,1638_l32,postcard
1182_L21,poster,1639_l32,poster
1183_L21,postman,1640_l32,postman
1184_L21,potato,1370_l27,potato
1184_L21,potato,1630_l32,potato
1185_L21,pound,32_l1,pound
1186_L21,pour,617_l11,pour
1187_L21,practice,1300_l26,practice
1188_L21,praise,1295_l26,praise
1189_L21,predict,1084_l22,predict
1190_L21,prediction,,
1191_L21,prefer,1080_l22,prefer
1192_L21,prepare,586_l11,prepare
1193_L21,present,1082_l22,present
1194_L21,president,1083_l22,president
1195_L21,press,341_l6,press
1196_L21,pressure,,
1197_L21,pretend,,
1198_L21,pretty,1081_l22,pretty
1199_L22,prevent,1280_l26,prevent
1200_L22,price,1763_l34,price
1201_L22,pride,433_l8,pride
1202_L22,primary,1092_l22,primary
1203_L22,print,1764_l34,print
1204_L22,prison,67_l2,prison
1205_L22,private,,
1206_L22,prize,434_l8,prize
1207_L22,pro,,
1208_L22,probably,1065_l21,probably
1209_L22,problem,1064_l21,problem
1210_L22,produce,1068_l21,produce
1211_L22,product,,
1212_L22,professional,,
1213_L22,program,,
1214_L22,progress,344_l6,progress
1215_L22,project,1158_l24,project
1216_L22,promise,1069_l21,promise
1217_L22,pronoun,,
1218_L22,pronounce,,
1219_L22,proper,1063_l21,proper
1220_L22,protect,1159_l24,protect
1221_L22,proud,809_l15,proud
1222_L22,prove,1591_l31,prove
1223_L22,provide,1067_l21,provide
1223_L22,provide,1597_l31,provide
1224_L22,province,1768_l34,province
1225_L22,public,1484_l30,public
1226_L22,pull,1687_l33,pull
1227_L22,punish,29_l1,punish
1228_L22,pupil,,
1229_L22,purple,1534_l31,purple
1230_L22,purpose,1537_l31,purpose
1231_L22,purse,1535_l31,purse
1232_L22,push,1480_l29,push
1233_L22,put,1482_l30,put
1234_L22,quality,,
1235_L22,quarter,,
1236_L22,queen,,
1237_L22,question,,
1238_L22,queue,,
1239_L22,quick,555_l10,quick
1240_L22,quiet,,
1241_L22,quite,,
1242_L22,rabbit,906_l18,rabbit
1243_L22,race,1623_l32,race
1244_L22,radio,1458_l29,radio
1245_L22,railway,1730_l34,railway
1246_L22,rain,1722_l34,rain
1247_L22,raincoat,1725_l34,raincoat
1248_L22,raise,765_l14,raise
1248_L22,raise,1294_l26,raise
1249_L22,rank,,
1250_L22,rapid,,
1251_L22,rat,,
1252_L22,rather,218_l4,rather
1253_L22,reach,159_l3,reach
1254_L22,read,166_l3,read
1255_L22,ready,167_l3,ready
1256_L22,real,47_l1,real
1257_L23,realistic,,
1258_L23,realize,48_l1,realize
1259_L23,really,49_l1,really
1260_L23,reason,65_l2,reason
1261_L23,receive,1053_l21,receive
1262_L23,recent,,
1263_L23,recipe,,
1264_L23,recite,,
1265_L23,record,1051_l21,record
1265_L23,record,1435_l29,record
1266_L23,recycle,,
1267_L23,red,1697_l33,red
1268_L23,refrigerator,,
1269_L23,refuse,124_l3,refuse
1270_L23,regard,1439_l29,regard
1271_L23,regret,,
1272_L23,regular,,
1273_L23,relation,639_l12,relation
1274_L23,relative,638_l12,relative
1275_L23,relax,641_l12,relax
1276_L23,remain,,
1277_L23,remember,804_l15,remember
1278_L23,rent,,
1279_L23,repair,1651_l32,repair
1280_L23,repeat,,
1281_L23,reply,,
1282_L23,report,526_l10,report
1283_L23,represent,,
1284_L23,require,,
1285_L23,research,,
1286_L23,resolution,,
1287_L23,rest,4_l1,rest
1288_L23,restaurant,7_l1,restaurant
1289_L23,restroom,6_l1,restroom
1290_L23,result,,
1291_L23,retire,,
1292_L23,return,371_l7,return
1293_L23,reveal,,
1294_L23,review,1288_l26,review
1295_L23,rice,1761_l34,rice
1296_L23,rich,1760_l34,rich
1297_L23,ride,430_l8,ride
1298_L23,right,252_l5,right
1299_L23,ring,1701_l33,ring
1300_L23,rise,1291_l26,rise
1300_L23,rise,1530_l31,rise
1301_L23,risk,955_l19,risk
1301_L23,risk,1292_l26,risk
1302_L23,river,467_l8,river
1303_L23,road,,
1304_L23,robot,856_l16,robot
1305_L23,rock,405_l7,rock
1306_L23,rocket,406_l7,rocket
1307_L23,role,1226_l25,role
1308_L23,room,731_l14,room
1309_L23,root,293_l5,root
1310_L23,rope,,
1311_L23,rose,1228_l25,rose
1312_L23,round,34_l1,round
1313_L23,route,,
1314_L23,row,830_l16,row
1315_L24,rubbish,872_l17,rubbish
1316_L24,rude,871_l17,rude
1317_L24,rule,869_l17,rule
1318_L24,ruler,870_l17,ruler
1319_L24,run,,
1320_L24,rural,,
1321_L24,rush,1478_l29,rush
1322_L24,Russia,,
1323_L24,sad,1029_l21,sad
1324_L24,safe,1547_l31,safe
1325_L24,safety,1549_l31,safety
1326_L24,sail,1161_l24,sail
1327_L24,salad,1546_l31,salad
1328_L24,sale,1544_l31,sale
1329_L24,salt,1550_l31,salt
1330_L24,same,1261_l25,same
1331_L24,sand,,
1332_L24,sandwich,,
1333_L24,satisfy,,
1334_L24,Saturday,1105_l22,Saturday
1335_L24,sauce,,
1336_L24,sausage,,
1337_L24,save,81_l2,save
1338_L24,say,749_l14,say
1339_L24,saying,,
1340_L24,scared,,
1341_L24,scarf,,
1342_L24,scary,1247_l25,scary
1343_L24,scene,,
1344_L24,school,275_l5,school
1345_L24,schoolbag,277_l5,schoolbag
1346_L24,schoolwork,,
1347_L24,science,1307_l26,science
1348_L24,scientific,,
1349_L24,scientist,1308_l26,scientist
1350_L24,score,1248_l25,score
1351_L24,screen,334_l6,screen
1352_L24,sea,207_l4,sea
1353_L24,seal,211_l4,seal
1354_L24,search,212_l4,search
1355_L24,season,209_l4,season
1356_L24,seat,210_l4,seat
1357_L24,second,1043_l21,second
1358_L24,secret,,
1359_L24,secretary,,
1360_L24,see,1607_l32,see
1361_L24,seek,1611_l32,seek
1362_L24,seem,1608_l32,seem
1363_L24,seldom,,
1364_L24,sell,713_l14,sell
1365_L24,semester,,
1366_L24,send,483_l9,send
1367_L24,sense,,
1368_L24,sentence,1493_l30,sentence
1369_L24,separate,,
1370_L24,September,807_l15,September
1371_L24,serious,1057_l21,serious
1372_L24,servant,1056_l21,servant
1373_L25,serve,1055_l21,serve
1374_L25,service,,
1375_L25,set,1472_l29,set
1375_L25,set,1532_l31,set
1376_L25,seven,1272_l26,seven
1377_L25,seventeen,,
1378_L25,seventeenth,,
1379_L25,seventh,1274_l26,seventh
1380_L25,seventy,1273_l26,seventy
1381_L25,several,776_l15,several
1382_L25,shake,668_l12,shake
1383_L25,shall,516_l9,shall
1384_L25,shame,665_l12,shame
1385_L25,shampoo,,
1386_L25,shape,664_l12,shape
1387_L25,share,666_l12,share
1388_L25,shark,663_l12,shark
1389_L25,she,918_l18,she
1390_L25,sheep,229_l4,sheep
1391_L25,shelf,920_l18,shelf
1392_L25,shell,919_l18,shell
1393_L25,shine,1527_l31,shine
1394_L25,shiny,,
1395_L25,ship,702_l13,ship
1396_L25,shirt,709_l13,shirt
1397_L25,shock,413_l7,shock
1398_L25,shoe,487_l9,shoe
1399_L25,shoot,493_l9,shoot
1400_L25,shop,488_l9,shop
1401_L25,short,495_l9,short
1401_L25,short,712_l13,short
1402_L25,should,605_l11,should
1403_L25,shoulder,606_l11,shoulder
1404_L25,shout,494_l9,shout
1405_L25,show,491_l9,show
1406_L25,shower,496_l9,shower
1407_L25,shut,490_l9,shut
1408_L25,shy,703_l13,shy
1409_L25,sick,553_l10,sick
1410_L25,side,425_l8,side
1411_L25,sign,1147_l23,sign
1412_L25,silent,1304_l26,silent
1413_L25,silk,,
1414_L25,silver,,
1415_L25,similar,895_l18,similar
1416_L25,simple,1541_l31,simple
1417_L25,since,1762_l34,since
1418_L25,sing,761_l14,sing
1419_L25,singer,762_l14,singer
1420_L25,single,763_l14,single
1421_L25,singular,,
1422_L25,sink,760_l14,sink
1423_L25,sir,990_l20,sir
1424_L25,sister,,
1425_L25,sit,983_l20,sit
1426_L25,situation,984_l20,situation
1427_L25,six,991_l20,six
1428_L25,sixteen,992_l20,sixteen
1429_L26,sixteenth,,
1430_L26,sixth,994_l20,sixth
1431_L26,sixty,993_l20,sixty
1432_L26,size,,
1433_L26,skate,740_l14,skate
1434_L26,skill,710_l13,skill
1435_L26,skin,707_l13,skin
1436_L26,skirt,708_l13,skirt
1437_L26,sky,704_l13,sky
1438_L26,sleep,230_l4,sleep
1439_L26,slice,,
1440_L26,slide,,
1441_L26,slipper,,
1442_L26,slow,819_l16,slow
1443_L26,small,717_l14,small
1444_L26,smart,438_l8,smart
1445_L26,smell,715_l14,smell
1446_L26,smile,894_l18,smile
1447_L26,smoke,847_l16,smoke
1448_L26,snake,667_l12,snake
1449_L26,snow,179_l4,snow
1450_L26,so,,
1451_L26,soap,1456_l29,soap
1452_L26,soccer,,
1453_L26,social,,
1454_L26,society,,
1455_L26,sock,412_l7,sock
1456_L26,sofa,,
1457_L26,soft,1244_l25,soft
1458_L26,soldier,471_l9,soldier
1459_L26,solid,,
1460_L26,solution,1349_l27,solution
1461_L26,solve,1348_l27,solve
1462_L26,some,1251_l25,some
1463_L26,somebody,1253_l25,somebody
1464_L26,someone,1252_l25,someone
1465_L26,something,1254_l25,something
1466_L26,sometimes,1256_l25,sometimes
1467_L26,somewhere,271_l5,somewhere
1468_L26,son,63_l2,son
1469_L26,song,79_l2,song
1470_L26,soon,64_l2,soon
1471_L26,sorry,,
1472_L26,sort,,
1473_L26,sound,31_l1,sound
1474_L26,soup,614_l11,soup
1474_L26,soup,1459_l29,soup
1475_L26,sour,613_l11,sour
1475_L26,sour,1460_l29,sour
1476_L26,south,132_l3,south
1477_L26,southeast,,
1478_L26,southern,,
1479_L26,space,1624_l32,space
1480_L26,spare,1625_l32,spare
1481_L26,speak,1609_l32,speak
1482_L26,special,,
1483_L26,specially,,
1484_L26,specific,,
1485_L26,specifically,,
1486_L26,speech,1732_l34,speech
1487_L26,speed,1731_l34,speed
1488_L27,spell,718_l14,spell
1489_L27,spend,485_l9,spend
1490_L27,spider,,
1491_L27,spirit,1360_l27,spirit
1492_L27,spoken,,
1493_L27,spoon,647_l12,spoon
1494_L27,sport,529_l10,sport
1495_L27,spot,,
1496_L27,spotlight,,
1497_L27,spread,163_l3,spread
1498_L27,spring,1702_l33,spring
1499_L27,square,1241_l25,square
1500_L27,staff,,
1501_L27,stage,743_l14,stage
1502_L27,stair,,
1503_L27,stamp,1662_l33,stamp
1504_L27,stand,,
1505_L27,standard,,
1506_L27,star,747_l14,star
1507_L27,start,741_l14,start
1508_L27,state,744_l14,state
1509_L27,statement,745_l14,statement
1510_L27,station,746_l14,station
1511_L27,stay,748_l14,stay
1512_L27,steal,214_l4,steal
1513_L27,step,226_l4,step
1514_L27,stick,558_l10,stick
1515_L27,still,,
1516_L27,stomach,,
1517_L27,stone,384_l7,stone
1518_L27,stop,383_l7,stop
1519_L27,store,385_l7,store
1519_L27,store,1249_l25,store
1520_L27,storm,387_l7,storm
1521_L27,story,386_l7,story
1521_L27,story,1562_l31,story
1522_L27,straight,255_l5,straight
1523_L27,strange,699_l13,strange
1524_L27,strategy,,
1525_L27,stream,,
1526_L27,street,331_l6,street
1527_L27,stress,332_l6,stress
1528_L27,strict,1085_l22,strict
1529_L27,string,75_l2,string
1530_L27,strong,78_l2,strong
1531_L27,structure,,
1532_L27,student,,
1533_L27,study,,
1534_L27,stupid,,
1535_L27,style,,
1536_L27,subject,1154_l24,subject
1537_L27,subway,,
1538_L27,succeed,,
1539_L27,success,882_l17,success
1540_L27,such,1021_l20,such
1541_L27,sudden,,
1542_L27,sugar,,
1543_L27,suggest,,
1544_L27,suit,1138_l23,suit
1545_L27,suitable,1137_l23,suitable
1546_L28,suitcase,,
1547_L28,summer,,
1548_L28,sun,1524_l31,sun
1549_L28,Sunday,1526_l31,Sunday
1550_L28,sunny,1525_l31,sunny
1551_L28,super,,
1552_L28,supermarket,,
1553_L28,supper,,
1554_L28,supply,,
1555_L28,support,530_l10,support
1556_L28,sure,1461_l29,sure
1557_L28,surf,1620_l32,surf
1558_L28,surface,1619_l32,surface
1559_L28,surprise,1296_l26,surprise
1560_L28,survey,1464_l29,survey
1561_L28,sweep,205_l4,sweep
1562_L28,sweet,206_l4,sweet
1563_L28,swim,1188_l24,swim
1564_L28,swing,,
1565_L28,symbol,,
1566_L28,symphony,,
1567_L28,table,1126_l23,table
1567_L28,table,1131_l23,table
1568_L28,tag,,
1569_L28,tail,1163_l24,tail
1570_L28,take,510_l9,take
1571_L28,tale,1556_l31,tale
1572_L28,talent,,
1573_L28,talented,,
1574_L28,talk,1552_l31,talk
1575_L28,tall,1654_l32,tall
1576_L28,tape,1557_l31,tape
1577_L28,task,512_l9,task
1578_L28,taste,1759_l34,taste
1579_L28,tasty,,
1580_L28,taxi,,
1581_L28,tea,152_l3,tea
1582_L28,teach,154_l3,teach
1583_L28,teacher,155_l3,teacher
1584_L28,team,160_l3,team
1585_L28,teen,,
1586_L28,teenager,724_l14,teenager
1587_L28,telephone,,
1588_L28,tell,1652_l32,tell
1589_L28,temperature,1428_l28,temperature
1590_L28,ten,1490_l30,ten
1591_L28,tennis,1491_l30,tennis
1592_L28,tense,,
1593_L28,tenth,,
1594_L28,term,1495_l30,term
1595_L28,terrible,1140_l23,terrible
1596_L28,terrorist,1142_l23,terrorist
1597_L28,test,3_l1,test
1598_L28,text,1_l1,text
1599_L28,than,1604_l32,than
1600_L28,thank,1598_l32,thank
1601_L28,that,1605_l32,that
1602_L28,the,,
1603_L29,theater/theatre,,
1604_L29,their,,
1605_L29,theirs,,
1606_L29,them,576_l10,them
1607_L29,theme,578_l10,theme
1608_L29,themselves,577_l10,themselves
1609_L29,then,575_l10,then
1610_L29,there,268_l5,there
1611_L29,therefore,,
1612_L29,these,267_l5,these
1612_L29,these,1686_l33,these
1613_L29,they,574_l10,they
1614_L29,thick,392_l7,thick
1615_L29,thief,1130_l23,thief
1616_L29,thin,389_l7,thin
1617_L29,thing,390_l7,thing
1618_L29,think,391_l7,think
1619_L29,third,1014_l20,third
1620_L29,thirsty,1017_l20,thirsty
1621_L29,thirteen,1015_l20,thirteen
1622_L29,thirteenth,,
1623_L29,thirtieth,,
1624_L29,thirty,1016_l20,thirty
1625_L29,this,,
1626_L29,those,266_l5,those
1626_L29,those,1684_l33,those
1627_L29,though,,
1628_L29,thousand,,
1629_L29,three,1741_l34,three
1630_L29,thrill,,
1631_L29,throat,,
1632_L29,through,,
1633_L29,throw,834_l16,throw
1634_L29,Thursday,1107_l22,Thursday
1635_L29,ticket,393_l7,ticket
1635_L29,ticket,560_l10,ticket
1636_L29,tidy,,
1637_L29,tie,1717_l34,tie
1638_L29,tiger,,
1639_L29,till,,
1640_L29,time,1713_l34,time
1641_L29,tiny,,
1642_L29,tired,309_l6,tired
1643_L29,to,,
1644_L29,toast,,
1645_L29,today,1101_l22,today
1646_L29,together,110_l2,together
1647_L29,toilet,1346_l27,toilet
1648_L29,tomato,1369_l27,tomato
1648_L29,tomato,1631_l32,tomato
1649_L29,tomorrow,840_l16,tomorrow
1650_L29,ton,,
1651_L29,tonight,623_l11,tonight
1652_L29,too,,
1653_L29,tool,279_l5,tool
1654_L29,tooth,274_l5,tooth
1655_L29,top,382_l7,top
1655_L29,top,1365_l27,top
1656_L29,topic,1366_l27,topic
1657_L29,total,,
1658_L29,touch,1028_l20,touch
1659_L30,tour,607_l11,tour
1660_L30,tourist,608_l11,tourist
1661_L30,tower,454_l8,tower
1662_L30,town,,
1663_L30,toy,1376_l28,toy
1664_L30,trade,933_l19,trade
1665_L30,traditional,938_l19,traditional
1666_L30,traffic,,
1667_L30,tragedy,,
1668_L30,train,1726_l34,train
1669_L30,translate,533_l10,translate
1670_L30,transportation,528_l10,transportation
1671_L30,trash,,
1672_L30,travel,934_l19,travel
1673_L30,treasure,,
1674_L30,treat,,
1675_L30,treatment,,
1676_L30,tree,1742_l34,tree
1677_L30,trip,1339_l27,trip
1678_L30,trouble,1139_l23,trouble
1679_L30,truck,1586_l31,truck
1680_L30,true,1588_l31,true
1681_L30,trust,,
1682_L30,truth,1590_l31,truth
1683_L30,try,1338_l27,try
1684_L30,Tuesday,1106_l22,Tuesday
1685_L30,turkey,,
1686_L30,turn,372_l7,turn
1687_L30,turtle,370_l7,turtle
1688_L30,tutor,,
1689_L30,twelfth,1000_l20,twelfth
1690_L30,twelve,999_l20,twelve
1691_L30,twentieth,,
1692_L30,twenty,,
1693_L30,twice,548_l10,twice
1694_L30,twin,,
1695_L30,two,,
1696_L30,type,,
1697_L30,ugly,,
1698_L30,umbrella,,
1699_L30,unable,1123_l23,unable
1700_L30,uncle,914_l18,uncle
1701_L30,uncomfortable,1134_l23,uncomfortable
1702_L30,under,36_l1,under
1702_L30,under,909_l18,under
1703_L30,underground,38_l1,underground
1704_L30,understand,,
1705_L30,underwater,,
1706_L30,unfamiliar,,
1707_L30,unfriendly,480_l9,unfriendly
1708_L30,unhappy,1215_l25,unhappy
1709_L30,unhealthy,189_l4,unhealthy
1710_L30,uniform,,
1711_L30,unimportant,,
1712_L30,unit,,
1713_L30,university,,
1714_L30,unless,881_l17,unless
1715_L30,unpleasant,,
1716_L30,until,,
1717_L30,unusual,,
1718_L30,up,,
1719_L31,upon,,
1720_L31,upset,,
1721_L31,upstairs,,
1722_L31,us,,
1723_L31,use,121_l3,use
1724_L31,useful,126_l3,useful
1725_L31,usual,,
1726_L31,value,,
1727_L31,vegetable,1136_l23,vegetable
1728_L31,verb,1594_l31,verb
1729_L31,very,1474_l29,very
1730_L31,video,,
1731_L31,view,1287_l26,view
1732_L31,village,726_l14,village
1733_L31,violin,,
1734_L31,visit,988_l20,visit
1735_L31,vocabulary,1093_l22,vocabulary
1736_L31,voice,550_l10,voice
1737_L31,volleyball,,
1738_L31,volunteer,,
1739_L31,wait,968_l19,wait
1740_L31,waiter,970_l19,waiter
1741_L31,wake,507_l9,wake
1742_L31,walk,1553_l31,walk
1743_L31,wall,523_l9,wall
1744_L31,wallet,524_l9,wallet
1745_L31,want,628_l11,want
1746_L31,war,317_l6,war
1747_L31,warm,321_l6,warm
1747_L31,warm,959_l19,warm
1748_L31,warn,320_l6,warn
1749_L31,wash,728_l14,wash
1750_L31,waste,974_l19,waste
1750_L31,waste,1758_l34,waste
1751_L31,watch,453_l8,watch
1752_L31,water,540_l10,water
1753_L31,watermelon,,
1754_L31,wave,1512_l30,wave
1755_L31,way,884_l17,way
1756_L31,we,,
1757_L31,weak,1612_l32,weak
1758_L31,wealth,,
1759_L31,wear,966_l19,wear
1759_L31,wear,1613_l32,wear
1760_L31,weather,219_l4,weather
1761_L31,Wednesday,,
1762_L31,week,1614_l32,week
1763_L31,weekday,1616_l32,weekday
1764_L31,weekend,1617_l32,weekend
1765_L31,weight,240_l4,weight
1766_L31,welcome,1661_l33,welcome
1767_L31,well,1655_l32,well
1768_L31,west,135_l3,west
1768_L31,west,975_l19,west
1769_L31,western,136_l3,western
1770_L31,wet,,
1771_L31,whale,893_l18,whale
1772_L31,what,1606_l32,what
1773_L31,whatever,,
1774_L31,wheat,,
1775_L31,wheel,1740_l34,wheel
1776_L31,when,570_l10,when
1777_L31,whenever,571_l10,whenever
1778_L31,where,269_l5,where
1779_L31,whether,220_l4,whether
1780_L31,which,898_l18,which
1781_L31,while,892_l18,while
1782_L32,white,897_l18,white
1783_L32,who,,
1784_L32,whole,1222_l25,whole
1785_L32,whom,,
1786_L32,whose,1685_l33,whose
1787_L32,why,,
1788_L32,wide,,
1789_L32,wife,757_l14,wife
1790_L32,wild,1075_l22,wild
1791_L32,will,,
1792_L32,win,,
1793_L32,wind,,
1794_L32,window,,
1795_L32,wine,,
1796_L32,winter,,
1797_L32,wise,24_l1,wise
1798_L32,wish,25_l1,wish
1799_L32,with,26_l1,with
1800_L32,without,27_l1,without
1801_L32,wolf,475_l9,wolf
1802_L32,woman,365_l7,woman
1803_L32,wonder,910_l18,wonder
1804_L32,wonderful,911_l18,wonderful
1805_L32,wood,290_l5,wood
1806_L32,word,598_l11,word
1807_L32,work,601_l11,work
1807_L32,work,1772_l34,work
1808_L32,world,599_l11,world
1809_L32,worldwide,,
1810_L32,worry,,
1811_L32,worse,962_l19,worse
1812_L32,worst,963_l19,worst
1813_L32,worth,,
1814_L32,wound,,
1815_L32,write,951_l19,write
1816_L32,writer,952_l19,writer
1817_L32,wrong,80_l2,wrong
1818_L32,x-ray,,
1819_L32,Yang,,
1820_L32,yard,280_l5,yard
1821_L32,yeah,,
1822_L32,year,1201_l24,year
1823_L32,yellow,818_l16,yellow
1824_L32,yes,,
1825_L32,yesterday,,
1826_L32,yet,,
1827_L32,Yin,,
1828_L32,you,,
1829_L32,young,,
1830_L32,your,193_l4,your
1831_L32,yours,,
1832_L32,yourself,194_l4,yourself
1833_L32,yourselves,195_l4,yourselves
1834_L32,zebra,,
1835_L32,zero,,
1836_L32,zigzag,,
1837_L32,zoo,,
,,2_l1,textbook
,,5_l1,restless
,,10_l1,vest
,,11_l1,harvest
,,13_l1,countryside
,,16_l1,discount
,,17_l1,mount
,,28_l1,witch
,,39_l1,surround
,,40_l1,surrounding
,,51_l2,army
,,52_l2,alarm
,,53_l2,land
,,55_l2,farther
,,56_l2,farthest
,,58_l2,farmland
,,60_l2,farming
,,66_l2,reasonable
,,69_l2,personal
,,70_l2,personally
,,87_l2,gatekeeper
,,88_l2,delete
,,89_l2,delegate
,,92_l2,beer
,,93_l2,beef
,,94_l2,deer
,,95_l2,engine
,,98_l2,cheerful
,,102_l2,neighbour
,,103_l2,neighbourhood
,,105_l2,motherland
,,112_l3,outline
,,114_l3,outlook
,,118_l3,doormat
,,119_l3,door-bell
,,120_l3,sprout
,,122_l3,used
,,123_l3,user
,,125_l3,useless
,,129_l3,pause
,,131_l3,blouse
,,138_l3,Easter
,,148_l3,leaflet
,,151_l3,league
,,153_l3,teapot
,,158_l3,peach
,,161_l3,teamwork
,,172_l4,knowledge
,,175_l4,renew
,,176_l4,news
