方向,前缀序号,前缀,前缀含义,需背记,单词,音标,中文释义,词根词缀拆解
否定方向,42,non-,不；无,1,nonsense,/?n?ns?ns/,n. 胡言乱语，蠢话；蠢事；无意义的话,前缀non-不+sense理智
否定方向,42,non-,不；无,,nonstop,/?n?n?st?p/,adj. 不停的，不间断的,前缀non-不+stop停止
否定方向,42,non-,不；无,1,nonsuch,/'n?ns?t?/,n. 无双的人或物，无可匹敌者,前缀non-无+such如此，这样
否定方向,42,non-,不；无,,nonprofit,/n?n?pr?f?t/,adj. 非营利的,前缀non-无+profit利润
否定方向,43,un-,不,,unable,/?n?e?b?l/,adj. 不能做到的,前缀un-不+able能的
否定方向,43,un-,不,,unlike,/?n?la?k/,prep. 不像；和……不同；不像是,前缀un-不+like像
否定方向,43,un-,不,,unhappy,/?n?h?p?/,adj. 不幸福的；对……不高兴的，对……不满意的,前缀un-不+happy快乐的
否定方向,43,un-,不,,uncover,/?n?k?v?/,v. 找出；移去（某物的）遮盖物,前缀un-不+cover覆盖
否定方向,44,de-,向下；离开,1,decline,/d??kla?n/,v. 下降；谢绝 n. 下降,前缀de-向下+clin倾斜+e→下降
否定方向,44,de-,向下；离开,1,decrease,/d?'kri?s/,v. 使降低，降低 n. 减少，降低,前缀de-向下+creas（=cre）生长+e→向下生长→降低
否定方向,44,de-,向下；离开,,declass,/di??klɑ?s/,v. 降低社会身份或地位；降级,前缀de-向下+class等级
否定方向,44,de-,向下；离开,,deforest,/di??f?r?st/,v. 砍伐森林,前缀de-离开+forest森林
否定方向,45,a-,（充当否定前缀）不，无；（充当介词性前缀）在……上/在……中,,asocial,/e??s????l/,adj. 不合群的,前缀a-不，无+social社交的
否定方向,45,a-,（充当否定前缀）不，无；（充当介词性前缀）在……上/在……中,,ahistorical,/?e?h?s?t?r?k?l/,adj. 无关历史的,前缀a-不，无+history历史+后缀-ical表示形容词
否定方向,45,a-,（充当否定前缀）不，无；（充当介词性前缀）在……上/在……中,,asexual,/e??s?ksj??l/,adj. 无性的； （动植物）无性器官的；（人）无性的,前缀a-不，无+ sex性别+后缀-ual表示形容词
否定方向,45,a-,（充当否定前缀）不，无；（充当介词性前缀）在……上/在……中,,apolitical,/?e?p??l?t?k?l/,adj. （人）对政治不感兴趣的，不关心政治的；（组织或活动）与政治无关的，不支持任何政党的,前缀a-不，无+ political政治的
否定方向,45,a-,（充当否定前缀）不，无；（充当介词性前缀）在……上/在……中,,away,/??we?/,adv. 离开；距离（某事件的时间）,前缀a-在……上+way路
否定方向,45,a-,（充当否定前缀）不，无；（充当介词性前缀）在……上/在……中,,aside,/??sa?d/,adv. （把某物移或放）到一边地；（把某人带或拉）到一旁地；向一旁地；（存留）在一边地；（拒绝而）置于一旁地,前缀a-在……上+side边
否定方向,45,a-,（充当否定前缀）不，无；（充当介词性前缀）在……上/在……中,,asleep,/??sli?p/,adj. 睡着的；（胳膊、腿等）麻木的,前缀a-在……中+sleep睡眠
否定方向,45,a-,（充当否定前缀）不，无；（充当介词性前缀）在……上/在……中,,alive,/??la?v/,adj. 活着的；有活力的；继续存在的,前缀a-在……中+live活，生命
其他,46,"ad-(ac-, af-, as-, at-, ag-, etc.)",去，到，对,1,admixture,/?d?m?kst??/,n. 混合物,前缀ad-去+mixture混合
其他,46,"ad-(ac-, af-, as-, at-, ag-, etc.)",去，到，对,,adjoin,/??d???n/,v. 紧邻,前缀ad-去+ join连接
其他,46,"ad-(ac-, af-, as-, at-, ag-, etc.)",去，到，对,1,account,/??ka?nt/,n. 账户；客户；账目,前缀ac-去+count数
其他,46,"ad-(ac-, af-, as-, at-, ag-, etc.)",去，到，对,1,affix,/??f?ks/,n. 词缀,前缀af-去+fix固定
其他,46,"ad-(ac-, af-, as-, at-, ag-, etc.)",去，到，对,1,apposition,/??p??z???n/,n. 并置，并列,前缀ap-去+position位置
其他,46,"ad-(ac-, af-, as-, at-, ag-, etc.)",去，到，对,,assign,/??sa?n/,v. 布置（任务）；分配（某物）；分派；赋予（某功能或价值）,前缀as-去+sign加记号→不断给别人发信号→布置任务
其他,46,"ad-(ac-, af-, as-, at-, ag-, etc.)",去，到，对,1,attest,/??t?st/,v. 证明,前缀at-去+test试验
其他,46,"ad-(ac-, af-, as-, at-, ag-, etc.)",去，到，对,1,aggress,/??ɡr?s/,v. 挑衅,前缀ag-去+gress迈步→向……逼近一步
其他,47,by-,旁边的；次要的,1,bypass,/?ba??pɑ?s/,v. （为了更快地达成某事而）不顾；绕过；避开 n .心脏分流手术；（绕过城镇中心的）旁道,前缀by-旁边的+pass经过
其他,47,by-,旁边的；次要的,,bystander,/?ba??st?nd?/,n. 旁观者,前缀by-旁边的+stand站立+后缀-er表示名词，“人或物”
其他,47,by-,旁边的；次要的,1,bylaw,/?ba??l??/,n. 规章,前缀by-次要的+law法律→法律细则，附则
其他,47,by-,旁边的；次要的,1,byproduct,/?ba?pr?d?kt/,n. 副产品,前缀by-次要的+ product产品
其他,48,circum-,周围；环绕,,circumstance,/?s??k?mst?ns/,n. 情形；详情，原委；境况（尤指经济状况）；命运，客观环境,前缀circum-周围+st站立+后缀-ance表示名词→站在周围的东西→环境
其他,48,circum-,周围；环绕,1,circumsolar,/?s??k?m?s??l?/,adj. 绕日的,前缀circum-环绕+solar太阳的
其他,48,circum-,周围；环绕,,circumlunar,/?s??k?m?lu?n?/,adj. 绕月的,前缀circum-环绕+lunar月亮的
其他,48,circum-,周围；环绕,1,circumnavigate,/?s??k?m?n?v??ɡe?t/,v. 环航,前缀circum-环绕+ navigate航行
其他,49,self-,自我,,self-service,/?self ?s??v?s/,adj. 自我服务的，自助的,前缀self-自我+service服务
其他,49,self-,自我,,self-control,/?self k?n?tr??l/,n. 自制力,前缀self-自我+control控制
其他,49,self-,自我,,self-confidence,/?self ?kɑ?nf?d?ns/,n. 自信,前缀self-自我+confidence信心
其他,49,self-,自我,1,self-evident,/?self ?ev?d?nt/,adj. 不证自明的，不言而喻的,前缀self-自我+evident显然的
其他,50,tele-,远，引申为“电”,,telephone,/?t?l??f??n/,n. 电话；电话机 v. 打电话（给某人），打电话,前缀tele-远+phone电话
其他,50,tele-,远，引申为“电”,,telescope,/?t?l??sk??p/,n. 望远镜,前缀tele-远+scope范围
其他,50,tele-,远，引申为“电”,,telegraph,/?t?l??ɡr?f/,n. 电报v. 发电报给；流露（要做某事）,前缀tele-远，引申含义“电”+graph书写→用电写成的东西
其他,50,tele-,远，引申为“电”,,telecommunication,/?t?l?k??mju?n??ke???n/,n. 电讯,前缀tele-远，引申含义“电”+communication通信
