词性分类,后缀序号,后缀,后缀含义,需背记,单词,音标,中文释义,词根词缀拆解
名词后缀,35,ary/-ory,（1）表示名词，“……的场所”；“人或物”（2）表示形容词,1,illusory,/??lu?s?r?/,adj. 貌似真实的，虚幻的，虚假的,前缀il-进入，里+lus戏弄+后缀-ory表示形容词
名词后缀,36,ium (-arium),表示名词，“场所”,1,stadium,/?ste?d??m/,n. （周围有看台的）体育场,st站立+-ad-+后缀-ium表示名词，“场所”
名词后缀,36,ium (-arium),表示名词，“场所”,1,auditorium,/???d??t??r??m/,n. 观众席；礼堂,auditor听者+后缀-ium表示名词，“场所”→听者的场所
名词后缀,36,ium (-arium),表示名词，“场所”,1,gymnasium,/d??m?ne?z??m/,n. 健身房,gymn裸体的+-as-+后缀-ium表示名词，“场所”→古希腊的裸体健身运动的场所
名词后缀,36,ium (-arium),表示名词，“场所”,1,oceanarium,/??????n??r??m/,n. 大型水族馆,ocean海洋+后缀-arium表示名词，“场所”
名词后缀,37,"ity (-ty, -ety)",表示名词，“性质”,,ability,/??b?l?t?/,n. 能力；才能,able能的+后缀-ity表示名词，“性质”
名词后缀,37,"ity (-ty, -ety)",表示名词，“性质”,,activity,/?k?t?v?t?/,n. 活动,active好动的+后缀-ity表示名词，“性质”
名词后缀,37,"ity (-ty, -ety)",表示名词，“性质”,,safety,/?se?ft?/,n. 安全，平安；安全场所；安全性；安危,safe安全的+后缀-ty表示名词，“性质”
名词后缀,37,"ity (-ty, -ety)",表示名词，“性质”,1,notoriety,/?n??t??ra??t?/,n. 声名狼藉,not知晓+-ori-+后缀-ety表示名词，“性质”
名词后缀,38,ism,表示名词，“主义，方法”,,tourism,/?t??r?z?m/,n. 旅游业,tour旅行+后缀-ism表示名词，“主义，方法”
名词后缀,38,ism,表示名词，“主义，方法”,1,realism,/?r???l?z?m/,n. 现实态度，务实精神；（绘画、小说或电影中的）现实主义；唯实论，实在论,real真实的+后缀-ism表示名词，“主义，方法”
名词后缀,38,ism,表示名词，“主义，方法”,,heroism,/?h?r????z?m/,n. 英雄气概,hero英雄+后缀-ism表示名词，“主义，方法”
名词后缀,38,ism,表示名词，“主义，方法”,1,humanism,/?hju?m??n?z?m/,n. 人道主义,human人+后缀-ism表示名词，“主义，方法”
名词后缀,39,itude,表示名词，“程度”,,attitude,/??t??tju?d/,n. 态度,（aptitude的变体）apt适应+后缀-itude表示名词，“程度”
名词后缀,39,itude,表示名词，“程度”,1,gratitude,/?ɡr?t??tju?d/,n. 感激,grat感激的+后缀-itude表示名词，“程度”
名词后缀,39,itude,表示名词，“程度”,1,latitude,/?l?t??tju?d/,n. 纬度；自由度 adj. 纬度的,lat宽的+后缀-itude表示名词，“程度”
名词后缀,39,itude,表示名词，“程度”,1,longitude,/?l?nd???tju?d/,n. 经度 adj. 经度的,long长的+后缀-itude表示名词，“程度”
名词后缀,40,et (-ette)/-let,表示名词，“小东西”,,toilet,/?t??l?t/,n. 抽水马桶；厕所,toil网+后缀-et表示名词，“小东西”→一小块薄抹布（梳妆台台布，女性经常在盥洗室里梳妆打扮）
名词后缀,40,et (-ette)/-let,表示名词，“小东西”,,facet,/?f?s?t/,n. 方面；（钻石等的）刻面,face侧面+后缀-et表示名词，“小东西”
名词后缀,40,et (-ette)/-let,表示名词，“小东西”,1,cigarette,/?s?ɡ??r?t/,n. 香烟,cigar雪茄+后缀-ette表示名词，“小东西”
名词后缀,40,et (-ette)/-let,表示名词，“小东西”,,novelette,/?n?v??l?t/,n. 中篇散文叙事故事，短篇散文叙事故事,novel小说+后缀-ette表示名词，“小东西”
名词后缀,40,et (-ette)/-let,表示名词，“小东西”,,booklet,/?b?kl?t/,n. 小册子,book书+后缀-let表示名词，“小东西”
名词后缀,40,et (-ette)/-let,表示名词，“小东西”,,cloudlet,/?kla?dl?t/,n. 朵云,cloud云+后缀-let表示名词，“小东西”
名词后缀,41,logy,表示名词，“学科”；“……的言语”（注：因为-logy还可以拆解为词根log+后缀-y，log 表示“说话，推理”，-y表示名词，所以本书在第五编第023组词根log/logue里，将-logy作为词根+词缀处理）,,biology,/ba???l?d??/,n. 生物学,bio生物+后缀-logy表示名词，“学科”→生物学
名词后缀,41,logy,表示名词，“学科”；“……的言语”（注：因为-logy还可以拆解为词根log+后缀-y，log 表示“说话，推理”，-y表示名词，所以本书在第五编第023组词根log/logue里，将-logy作为词根+词缀处理）,,zoology,/z????l?d??/,n. 动物学,zoo动物园+后缀-logy表示名词，“学科”
名词后缀,41,logy,表示名词，“学科”；“……的言语”（注：因为-logy还可以拆解为词根log+后缀-y，log 表示“说话，推理”，-y表示名词，所以本书在第五编第023组词根log/logue里，将-logy作为词根+词缀处理）,,musicology,/?mju?z??k?l?d??/,n. 音乐学,music音乐+-o-+后缀-logy表示名词，“学科”
名词后缀,41,logy,表示名词，“学科”；“……的言语”（注：因为-logy还可以拆解为词根log+后缀-y，log 表示“说话，推理”，-y表示名词，所以本书在第五编第023组词根log/logue里，将-logy作为词根+词缀处理）,1,mixology,/m?k's?l?d??/,n. 调酒术；制备混合饮料的手艺,mix调制+-o-+后缀-logy表示名词，“学科”
名词后缀,42,nomy,表示名词，“学”,1,astronomy,/??str?n?m?/,n. 天文学,astro星星+后缀-nomy表示名词，“学”→研究星星的学问
名词后缀,42,nomy,表示名词，“学”,1,economy,/??k?n?m?/,n. 经济体制；经济状况；节省 adj. 经济的，便宜的；经济装的,eco家+后缀-nomy表示名词，“学”→管理家的学问
名词后缀,42,nomy,表示名词，“学”,1,aeronomy,/???r?n?m?/,n. 超高层气流物理学,aero空气+后缀-nomy表示名词，“学”
名词后缀,42,nomy,表示名词，“学”,1,taxonomy,/t?k?s?n?m?/,n. （动植物等的）分类法；分类学,tax（=taxis）分类+-o-+后缀-nomy表示名词，“学”
名词后缀,43,ics,表示名词，“学”,,physics,/?f?z?ks/,n. 物理学,phys（=physic）自然+后缀-ics表示名词，“学”
名词后缀,43,ics,表示名词，“学”,,politics,/?p?l?t?ks/,n. 政治；政治观点；政治学,polit城市+后缀-ics表示名词，“学”→管理城邦的学问
名词后缀,43,ics,表示名词，“学”,1,aesthetics,/i?s?θ?t?ks/,n. 美学,aesthet感觉+后缀-ics表示名词，“学”→研究感性认识的学问
名词后缀,43,ics,表示名词，“学”,1,phonetics,/f??n?t?ks/,n. 语音学,phone音素+t+后缀-ics表示名词，“学”
名词后缀,44,hood,表示名词，“身份或资格”,,childhood,/?t?a?ldh?d/,n. 童年,child孩子+后缀-hood表示名词，“身份或资格”
名词后缀,44,hood,表示名词，“身份或资格”,,neighbo(u)rhood,/?ne?b??h?d/,n. 居住区；附近,neighbor邻居+后缀-hood表示名词，“身份或资格”
名词后缀,44,hood,表示名词，“身份或资格”,1,likelihood,/?la?kl??h?d/,n. 可能性；可能发生的事情,likely可能的+后缀-hood表示名词，“身份或资格”
名词后缀,44,hood,表示名词，“身份或资格”,,manhood,/?m?nh?d/,n. （男子的）成年,man（男）人+后缀-hood表示名词，“身份或资格”
名词后缀,45,ship,表示名词，“状况”；“职业”；“技能”,,friendship,/?fr?nd??p/,n. 友谊；友好关系；友情,friend朋友+后缀-ship表示名词，“状况”
名词后缀,45,ship,表示名词，“状况”；“职业”；“技能”,,relationship,/r??le???n??p/,n. 关系；（尤指爱情或性的）关系；联系,relation关系+后缀-ship表示名词，“状况”
名词后缀,45,ship,表示名词，“状况”；“职业”；“技能”,,membership,/?m?mb????p/,n. 成员身份；全体成员，成员数,member会员+后缀-ship表示名词，“职业”
名词后缀,45,ship,表示名词，“状况”；“职业”；“技能”,1,workmanship,/?w??km?n??p/,n. 工艺,workman工匠+后缀-ship表示名词，“技能”
名词后缀,46,ry,表示名词,1,chemistry,/?kem?stri/,n.化学,chemist化学家+-ry表示名词
名词后缀,46,ry,表示名词,,forestry,/?f?r?str?/,n. 林业学,forest森林+后缀-ry表示名词
名词后缀,46,ry,表示名词,1,foundry,/?fa?ndr?/,n. 铸造（金属或玻璃的）工厂,found浇筑+后缀-ry表示名词→浇筑的场所
名词后缀,46,ry,表示名词,,dentistry,/?d?nt?str?/,n. 牙医业,dentist牙医+后缀-ry表示名词
名词后缀,47,dom,表示名词，“领域”；“状态”,,kingdom,/?k? d?m/,n. 王国；（动物或植物）界,king国王+后缀-dom表示名词，“领域”
名词后缀,47,dom,表示名词，“领域”；“状态”,,freedom,/?fri?d?m/,n. 自由；人身自由,free自由的+后缀-dom表示名词，“状态”
名词后缀,47,dom,表示名词，“领域”；“状态”,1,wisdom,/?w?zd?m/,n. 智慧,wise有智慧的+后缀-dom表示名词，“状态”
名词后缀,47,dom,表示名词，“领域”；“状态”,1,boredom,/?b??d?m/,n. 厌烦,bore使厌烦+后缀-dom表示名词，“状态”
名词后缀,48,ice,表示名词,,service,/?s??v?s/,n. 公共服务机构，公共服务系统；官方机构，政府的行政部门；服务，服务项目 adj. 员工专用的 v. 做保养；为……效力,serve服务+后缀-ice表示名词
名词后缀,48,ice,表示名词,,practice,/?pr?kt?s/,n. 做法；（医疗或法律的）业务，（宗教）活动,pract行为+后缀-ice表示名词
名词后缀,48,ice,表示名词,,notice,/?n??t?s/,v. 注意到，察觉 n. 告示；事先通知；启事；通告,not知晓+后缀-ice表示名词→让众人知晓的东西，转化为动词
名词后缀,48,ice,表示名词,1,justice,/?d??st?s/,n. 公正；正当性；司法；法官,just公正+后缀-ice表示名词→公正，正当性
名词后缀,49,ness,表示名词,,business,/?b?zn?s/,n. 商业；生意；企业；行业；事务,busy繁忙的+后缀-ness表示名词
名词后缀,49,ness,表示名词,,illness,/??ln?s/,n. 生病；疾病,ill生病的+后缀-ness表示名词
名词后缀,49,ness,表示名词,,kindness,/?ka?ndn?s/,n. 和蔼，亲切，好意,kind和蔼的+后缀-ness表示名词
名词后缀,49,ness,表示名词,,happiness,/?h?pin?s/,n. 幸福,happy快乐的+后缀-ness表示名词
名词后缀,50,th,（1）表示数词，“第……”（2）表示名词,,fourth,/f??θ/,num. 第四,four四+后缀-th表示数词，“第……”
名词后缀,50,th,（1）表示数词，“第……”（2）表示名词,1,health,/h?lθ/,n. 健康状况；健康；兴旺,heal治愈+后缀-th表示名词
名词后缀,50,th,（1）表示数词，“第……”（2）表示名词,,growth,/ɡr??θ/,n. 发展；增长；（性格的）成长；生长,grow成长；种植+后缀-th表示名词
名词后缀,50,th,（1）表示数词，“第……”（2）表示名词,,length,/l? kθ/,n. 长度；篇幅；（事件、活动等）持续时间,long长的+后缀-th表示名词
